83	-263	-618 
82	-263	-623 
81	-262	-619 
81	-263	-617 
81	-261	-620 
80	-263	-621 
81	-263	-618 
80	-264	-618 
81	-263	-621 
81	-263	-617 
82	-265	-620 
83	-262	-620 
81	-263	-619 
82	-261	-619 
81	-260	-622 
84	-261	-618 
88	-255	-621 
83	-254	-621 
83	-256	-620 
81	-260	-617 
81	-258	-617 
80	-262	-621 
83	-263	-619 
81	-263	-619 
84	-254	-622 
87	-249	-623 
95	-226	-625 
105	-206	-625 
108	-183	-628 
116	-116	-632 
109	-96	-632 
104	-82	-634 
99	-71	-633 
92	-52	-631 
88	-39	-634 
77	-24	-633 
69	-12	-630 
53	8	-629 
42	17	-626 
21	36	-626 
12	42	-626 
-10	49	-620 
-23	48	-623 
-29	51	-616 
-45	55	-619 
-57	61	-617 
-72	59	-613 
-68	60	-617 
-67	60	-613 
-59	62	-613 
-65	59	-613 
-61	64	-614 
-80	70	-612 
-120	69	-604 
-157	64	-594 
-205	63	-576 
-238	48	-569 
-264	15	-563 
-263	-24	-568 
-272	-45	-565 
-277	-60	-562 
-284	-92	-559 
-291	-118	-557 
-294	-145	-554 
-293	-163	-552 
-284	-162	-558 
-287	-166	-557 
-282	-174	-557 
-297	-170	-549 
-294	-203	-547 
-270	-249	-551 
-257	-261	-557 
-239	-284	-553 
-217	-309	-560 
-182	-330	-566 
-154	-343	-572 
-124	-351	-573 
-97	-352	-582 
-83	-351	-582 
-71	-351	-587 
-59	-350	-585 
-46	-346	-589 
-43	-344	-588 
-45	-343	-591 
-48	-346	-589 
-45	-347	-590 
-50	-347	-590 
-45	-345	-588 
-28	-338	-592 
16	-321	-604 
36	-301	-610 
56	-284	-609 
64	-271	-617 
89	-230	-623 
98	-205	-625 
99	-196	-628 
103	-190	-627 
107	-172	-627 
110	-161	-628 
106	-159	-628 
107	-164	-626 
111	-155	-628 
139	-148	-623 
122	-149	-625 
109	-126	-630 
104	-87	-629 
95	-50	-630 
84	-30	-628 
72	-13	-628 
64	-1	-626 
39	26	-621 
8	46	-618 
-14	53	-617 
-43	66	-611 
-78	68	-606 
-103	68	-602 
-127	67	-599 
-144	64	-594 
-153	59	-592 
-168	54	-588 
-183	47	-586 
-195	38	-582 
-195	36	-580 
-205	32	-577 
-214	20	-578 
-224	23	-572 
-228	25	-570 
-228	23	-570 
-212	27	-577 
-167	59	-586 
-138	68	-594 
-102	69	-601 
-70	67	-607 
-39	57	-614 
-10	48	-617 
10	34	-620 
33	29	-623 
59	3	-627 
77	-21	-629 
90	-51	-632 
103	-83	-627 
107	-124	-631 
106	-165	-626 
100	-189	-626 
100	-196	-627 
98	-202	-625 
97	-206	-626 
94	-211	-624 
95	-216	-622 
93	-217	-622 
93	-222	-624 
83	-237	-620 
74	-252	-618 
52	-283	-614 
29	-301	-610 
12	-315	-605 
-13	-328	-596 
-31	-333	-598 
-46	-338	-594 
-62	-342	-590 
-74	-343	-586 
-78	-346	-585 
-84	-343	-583 
-90	-347	-584 
-98	-344	-579 
-121	-340	-578 
-146	-336	-570 
-182	-325	-567 
-204	-310	-560 
-228	-288	-559 
-263	-248	-559 
-280	-210	-556 
-285	-171	-556 
-287	-164	-556 
-293	-154	-560 
-284	-140	-559 
-285	-129	-561 
-284	-116	-561 
-277	-83	-565 
-268	-46	-572 
-260	-12	-569 
-236	20	-574 
-213	35	-583 
-184	53	-590 
-152	71	-592 
-127	81	-598 
-113	78	-601 
-104	81	-602 
-89	86	-602 
-81	86	-601 
-90	82	-604 
-136	76	-595 
-182	62	-586 
-235	29	-574 
-271	-16	-560 
-286	-90	-559 
-297	-157	-550 
-287	-206	-555 
-270	-239	-550 
-255	-263	-554 
-245	-273	-554 
-230	-286	-555 
-206	-312	-562 
-182	-324	-562 
-169	-333	-566 
-144	-341	-572 
-117	-344	-574 
-95	-346	-580 
-85	-348	-583 
-75	-349	-583 
-85	-346	-583 
-100	-347	-582 
-104	-346	-578 
-116	-344	-577 
-124	-344	-575 
-123	-345	-577 
-135	-343	-577 
-145	-339	-570 
-147	-341	-572 
-153	-337	-573 
-162	-333	-572 
-169	-333	-571 
-176	-330	-568 
-180	-329	-567 
-194	-323	-565 
-215	-307	-565 
-215	-305	-560 
-218	-306	-563 
-218	-305	-562 
-221	-304	-563 
-216	-303	-559 
-221	-306	-561 
-220	-304	-561 
-220	-303	-563 
-220	-302	-561 
-222	-302	-561 
-223	-304	-562 
-221	-304	-562 
